"","S1","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S2","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S3","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S4","S40","S41","S42","S43","S44","S45","S5","S6","S7","S8","S9"
"hsa-miR-425-5p",9.99120552033607,9.80301614618281,9.26753932213971,9.83181346859336,10.3557878517251,9.5537050266604,10.588782632365,10.2655940004014,9.51375180027639,9.17576275034962,9.95260001266797,9.60629992408567,8.66032387128332,9.21864291637979,9.69252184288796,9.79757629151677,10.3783001787936,9.88622795159094,10.2717982901324,8.65075905912775,8.96375582544282,9.52880713573648,9.2350233433672,9.7591696359542,10.1786906996178,9.43682421766876,10.9421234072531,9.45073211528145,10.0850158836806,10.0605572576796,9.67108054674624,10.6052661166656,10.8872425879532,10.7955943662801,10.105125700918,9.2150214487758,10.7083745724103,10.3868869912586,8.99620549785019,11.0588009221642,10.385656480401,8.60365785155864,9.28512817023308,9.96663570218275,10.126781114094
"hsa-miR-148b-5p",5.84517892145351,5.82704001346373,6.11622035030578,7.96155974174886,0,0,0,0,0,5.80695115481985,0,6.91600457474342,6.67098181367596,6.42574439014349,6.38620098406263,0,4.42368667236631,6.0195886686968,5.57333252241157,0,0,0,5.79933696590585,4.94706681487128,5.33109397699388,5.22588805927084,5.72107512804426,6.01177134673847,0,4.89893693933001,5.85318285062292,5.86553288104885,0,0,0,6.47402553627931,0,5.33454995177204,7.82980766200989,6.07961555516983,0,4.42098758399859,6.45801601268532,6.63401759303264,5.43139512804713
"hsa-miR-191-5p",10.2804543878779,11.5567667187254,11.5387001120273,11.6931617526536,11.6150136171445,12.0439788775014,12.1417631788409,12.5216775192936,11.5963071801406,12.1211225001066,12.357410654372,11.5626965802107,10.1174845565033,10.5797324238355,11.9238093633845,12.4507154482492,12.0625444928305,12.0287414339163,12.1868760563087,11.7117255902826,11.4208214096454,12.112141159532,11.5016136616091,11.6813219076908,12.2492950260777,12.0575167663549,12.7325934104679,11.9553849582068,12.102874058257,12.1261994517644,12.2767588172603,12.4506261424227,11.7298045489953,10.9065655540834,12.5175433357358,11.5456498267574,11.7403552778458,12.2528382050251,11.2503096529371,12.2283501486799,11.4207279324684,11.8200215407265,11.3962432785705,12.3966671488857,11.8573902130801
"hsa-miR-223-3p",6.83257615517093,8.05476359889902,9.00497300349648,9.03651287380295,7.92008272255135,9.5537050266604,8.9584802955599,9.97954705776441,8.871005309938,7.95669258665495,6.64371622642853,8.36781361543834,8.98153862935188,8.41310298564526,8.69426434146473,9.99667591019596,9.40137717068944,9.48461943811233,9.00495286742346,8.89121481881288,0,0,9.09775921703885,8.22627646353055,9.15531574700105,8.89029686341856,9.60221040728844,8.6931668242618,8.83891356914649,9.85131496534436,8.56877755893593,9.38705088306323,8.91219844546368,8.47690928366088,9.80204009050048,9.66893105558584,9.7092365636234,9.62210628515421,8.63444238834697,8.96789909675272,8.87308466407559,8.74769451321066,7.44978741271084,8.84495160266582,8.57129250798516
"hsa-miR-30a-5p",12.7625844585242,12.420049016764,13.1561255912357,12.9609420337392,12.9461455655915,13.3848089951171,12.8335192568634,12.8302168310267,13.399435686984,13.1862448570494,12.6518072555045,12.78073006594,13.6455509242648,13.3158965295126,12.2020453802537,12.0414090715937,12.6077446299523,12.5083869433756,12.952283385609,13.5672306766511,12.2830810688942,12.3751212511313,13.1996136798716,12.9386256072602,12.8686424576978,12.8558931599035,12.3519499143701,13.3730776243236,12.9548822899497,13.3052220476805,13.0633925600608,12.2699241549518,12.6643105232396,12.4731081437661,12.4749063797261,14.2683490504716,12.1791289121751,12.6736065339817,12.1636170358467,12.3438042382917,12.4891652924223,12.7658520033683,13.2252062366423,13.3246152795665,13.1790849993496
"hsa-miR-374a-3p",6.83257615517093,3.90133365900778,6.11622035030578,6.38812645673013,0,7.14696213398132,5.6624192309033,0,6.46925875758948,7.37463079875465,0,6.91600457474342,0,0,6.38620098406263,6.64056215831001,5.38967790134397,3.78397847364013,7.13795266730148,5.22678337991734,0,0,6.78632547344406,5.92349067104661,4.36649502007603,5.79794295805335,4.74816923657043,0,0,4.89893693933001,5.85318285062292,4.32922888712805,0,7.16104225782679,4.31993955689541,4.52190978548966,0,0,7.41688233028055,0,7.0734014962911,4.42098758399859,7.03749799815654,6.05629970840581,6.99389570765954
"hsa-miR-15b-5p",5.84517892145351,4.85223205773778,0,5.81175080396867,0,5.58221623239117,6.64810595349418,0,4.91650007935895,4.83249333153669,6.64371622642853,0,0,0,7.95961880973132,6.06281156583944,6.69080914660699,6.0195886686968,6.14815969894927,6.78583038414405,0,0,0,4.94706681487128,6.89196378462939,6.20648309048324,5.72107512804426,0,5.86080105636521,0,4.31729014589643,6.27437103297902,4.95643200747289,0,5.85592383794956,4.52190978548966,5.28555123146575,0,0,5.10079120483998,0,5.38691436958233,6.19825995044701,0,0
"hsa-miR-106b-3p",9.28161389885283,9.55820269149707,9.00497300349648,9.9166119014396,9.96618297037476,9.87524913983135,8.63727702733656,9.97954705776441,9.3936291700843,9.78258756612012,8.63285417608754,9.3656283181572,7.66388527433654,8.99665402382193,9.3710295699911,10.434427131131,9.48614415294799,9.43222660203431,9.00495286742346,9.19020527866667,9.18573540916615,10.7907018007606,9.77484335164442,9.48649794092495,9.91101150331516,8.51269706730894,9.15542624871379,8.79983303926607,9.16021140180394,7.66423708952921,8.4949769322627,9.66677850759836,10.1958335499556,9.95973069442801,8.77269856837606,10.213807139156,9.77329196572745,9.30063580821989,8.82663360127294,9.23045322872767,9.97097840345562,9.48331697680488,9.21652821820305,10.0358307766051,9.39970720746861
"hsa-miR-23a-3p",0,6.14387647824276,8.68374675475728,6.38812645673013,5.14803138209451,7.14696213398132,0,0,7.46109421395784,6.79400846105602,0,4.95140687595081,8.98153862935188,0,0,6.06281156583944,6.95151417642743,5.70320941563663,7.13795266730148,5.22678337991734,6.3931687154391,8.7931430009126,8.10038997015398,4.94706681487128,6.31306228168403,6.20648309048324,5.72107512804426,6.58926155281019,5.86080105636521,4.89893693933001,7.06124322294915,5.86553288104885,6.51007943459624,6.17108779437056,5.85592383794956,6.79270412277048,6.26693748842578,6.89547788721079,5.84870676204571,6.65744986867854,0,8.60365785155864,5.8812354450865,7.94720385271969,5.43139512804713
