"","S1","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S2","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S3","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S4","S40","S41","S42","S43","S44","S45","S5","S6","S7","S8","S9"
"hsa-miR-23a-3p",0,6.14387647824276,8.68374675475728,6.38812645673013,5.14803138209451,7.14696213398132,0,0,7.46109421395784,6.79400846105602,0,4.95140687595081,8.98153862935188,0,0,6.06281156583944,6.95151417642743,5.70320941563663,7.13795266730148,5.22678337991734,6.3931687154391,8.7931430009126,8.10038997015398,4.94706681487128,6.31306228168403,6.20648309048324,5.72107512804426,6.58926155281019,5.86080105636521,4.89893693933001,7.06124322294915,5.86553288104885,6.51007943459624,6.17108779437056,5.85592383794956,6.79270412277048,6.26693748842578,6.89547788721079,5.84870676204571,6.65744986867854,0,8.60365785155864,5.8812354450865,7.94720385271969,5.43139512804713
"hsa-miR-223-3p",6.83257615517093,8.05476359889902,9.00497300349648,9.03651287380295,7.92008272255135,9.5537050266604,8.9584802955599,9.97954705776441,8.871005309938,7.95669258665495,6.64371622642853,8.36781361543834,8.98153862935188,8.41310298564526,8.69426434146473,9.99667591019596,9.40137717068944,9.48461943811233,9.00495286742346,8.89121481881288,0,0,9.09775921703885,8.22627646353055,9.15531574700105,8.89029686341856,9.60221040728844,8.6931668242618,8.83891356914649,9.85131496534436,8.56877755893593,9.38705088306323,8.91219844546368,8.47690928366088,9.80204009050048,9.66893105558584,9.7092365636234,9.62210628515421,8.63444238834697,8.96789909675272,8.87308466407559,8.74769451321066,7.44978741271084,8.84495160266582,8.57129250798516
"hsa-let-7a-5p",16.0772710341829,15.5521372549074,15.8880856878789,15.5390824463481,15.2941469379247,15.811552444693,16.1154689992418,15.9197966380751,16.2243915146435,16.0675273729151,16.1645102610314,16.1364490415499,15.4896750251678,15.8846217263148,15.8726989249876,16.3618844554004,15.7162703758656,15.8865530565459,15.7606940892778,16.0214358838659,16.2072272897555,16.6437305905326,15.8659768610281,15.9350323216364,15.9948306034118,16.1172015962642,15.4919655393794,15.7077971771952,15.4596730060455,15.6874075643809,16.2063214854445,15.6538487812647,16.0940967231506,15.9948694267702,15.7311869516353,15.5136953772634,15.4217904503687,15.9883664291247,16.234982235054,15.2953702944453,16.3352968146046,15.8099358676879,15.7660931128367,15.3018634468044,15.5775083198531
"hsa-miR-15b-5p",5.84517892145351,4.85223205773778,0,5.81175080396867,0,5.58221623239117,6.64810595349418,0,4.91650007935895,4.83249333153669,6.64371622642853,0,0,0,7.95961880973132,6.06281156583944,6.69080914660699,6.0195886686968,6.14815969894927,6.78583038414405,0,0,0,4.94706681487128,6.89196378462939,6.20648309048324,5.72107512804426,0,5.86080105636521,0,4.31729014589643,6.27437103297902,4.95643200747289,0,5.85592383794956,4.52190978548966,5.28555123146575,0,0,5.10079120483998,0,5.38691436958233,6.19825995044701,0,0
"hsa-miR-374a-3p",6.83257615517093,3.90133365900778,6.11622035030578,6.38812645673013,0,7.14696213398132,5.6624192309033,0,6.46925875758948,7.37463079875465,0,6.91600457474342,0,0,6.38620098406263,6.64056215831001,5.38967790134397,3.78397847364013,7.13795266730148,5.22678337991734,0,0,6.78632547344406,5.92349067104661,4.36649502007603,5.79794295805335,4.74816923657043,0,0,4.89893693933001,5.85318285062292,4.32922888712805,0,7.16104225782679,4.31993955689541,4.52190978548966,0,0,7.41688233028055,0,7.0734014962911,4.42098758399859,7.03749799815654,6.05629970840581,6.99389570765954
"hsa-let-7f-5p",15.7237708308326,15.4879321623938,15.330124058004,15.0420868475968,15.1809392586468,15.5074649746458,15.4035203762489,15.4359811882073,15.6817293405035,15.5182266887159,15.6845250730688,15.5782298445246,14.7912308587185,15.485711487971,15.5587035923007,16.3218551586017,15.4969862991702,15.4455325519187,15.6228903055874,15.659436535569,15.7180024117844,16.4995609676462,15.5821891464985,15.7268921485037,15.7649787036149,15.5635114060996,15.6360052689033,15.3313470060792,14.957338367973,15.4167906424061,15.5923554791583,16.078800559144,15.7594136028571,15.5454191453771,15.4746846137291,14.9675243393389,15.3302645081105,15.6809977538342,15.5152268667422,14.6185146460856,15.8796571332193,15.6426400062769,15.7342431505078,15.2286346140981,15.3059979601172
