"","Z1","Z11","Z12","Z13","Z14","Z15","Z16","Z18","Z2","Z21","Z22","Z23","Z5","Z6","Z7","Z8","Z9"
"hsa-miR-23a-3p",5.57290463979661,9.0913655455798,6.28211758279394,7.80055065252221,6.60322927716994,6.25911245418331,7.6056993133149,7.41137008275532,6.22629432018666,8.08488265442776,0,0,7.77452284025943,6.69813661597577,0,6.59044107252894,8.5268018950035
"hsa-miR-223-3p",6.55767028503242,10.5371484786125,8.58913832434103,7.48023941397756,8.17826504204895,9.32985861798218,8.92317646636375,7.41137008275532,8.38115344578291,9.08222344499703,0,6.75187694778984,9.5353991170024,5.39690076296192,9.34957079508093,9.57728151309223,9.26220201105916
"hsa-let-7a-5p",15.9569812584787,15.4574551995558,15.4753791607222,15.3239211659532,15.6704901456469,15.7159124155961,15.9111797968865,15.7203096230448,15.5434316210006,15.8344715175164,15.7396112465654,15.980433730591,15.8680796864215,16.6900938931372,15.432729955936,15.6198145095867,15.6314378883162
"hsa-miR-15b-5p",0,0,7.27281855370779,5.50427729987646,5.6179924763956,0,6.61308716979282,7.41137008275532,5.24543638722659,6.51050824562551,7.19869259169408,0,7.0419431427318,5.39690076296192,0,8.57916881521487,7.94379385612836
"hsa-miR-374a-3p",5.57290463979661,0,0,0,0,0,0,0,5.24543638722659,0,0,0,5.47871232547782,6.69813661597577,0,0,0
"hsa-let-7f-5p",15.0717457887718,14.3808983344827,14.7064566568825,14.669409010765,14.536741373368,15.3578296376823,14.9381693888692,14.5114565157346,14.2891159597021,15.6720439949669,14.664627074566,15.1626338896001,14.5067487052272,15.5177284354854,14.6328166761562,14.4083481027635,14.8021591535963
